AAPL,173.42,1200450
AAPL,172.88,980230
AAPL,174.11,1503321
AAPL,171.95,1104520
AAPL,173.77,1320044
MSFT,412.63,845210
MSFT,413.18,910304
MSFT,411.92,870455
MSFT,414.05,920781
MSFT,412.11,899120
AMZN,184.55,1320088
AMZN,183.97,1265500
AMZN,185.12,1412301
AMZN,182.88,1198702
AMZN,184.02,1284440
GOOG,2889.45,540210
GOOG,2892.10,612340
GOOG,2885.72,500980
GOOG,2895.33,645120
GOOG,2888.60,571450
NVDA,922.38,2100344
NVDA,928.11,2250010
NVDA,919.75,1984440
NVDA,931.46,2405560
NVDA,924.22,2173400
TSLA,188.44,1753200
TSLA,190.05,1810045
TSLA,187.92,1695500
TSLA,191.33,1892040
TSLA,189.12,1787700
META,497.18,945600
META,499.02,990450
META,495.77,910210
META,500.26,1023450
META,498.40,970330
